[?1034hBID = 1.35805 , ASK = 0 , AVG = 1.35805
BID = 1.358 , ASK = 1.3584 , AVG = 1.35804938475
BID = 1.358 , ASK = 1.3584 , AVG = 1.35806772227
BID = 1.358 , ASK = 1.3584 , AVG = 1.35806248035
BID = 1.358 , ASK = 1.3584 , AVG = 1.358033436
BID = 1.358 , ASK = 1.3584 , AVG = 1.3580500111
BID = 1.358 , ASK = 1.3584 , AVG = 1.35805958525
BID = 1.358 , ASK = 1.35835 , AVG = 1.35805829831
BID = 1.358 , ASK = 1.35835 , AVG = 1.35805299631
BID = 1.358 , ASK = 1.35835 , AVG = 1.35806087218
BID = 1.358 , ASK = 1.35835 , AVG = 1.35805910334
BID = 1.358 , ASK = 1.35835 , AVG = 1.35804244986
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35806328125
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808070175
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807640608
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35806900149
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807379507
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35809203714
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808275405
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807689057
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807814082
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807949247
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808103973
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808799662
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807851905
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807235091
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808103973
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808189804
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806293242
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806749209
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806245537
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807383677
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807228284
BID = 1.3581 , ASK = 1.3584 , AVG = 1.3581
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809019082
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809638713
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808163388
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808188198
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808110355
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808313333
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808398384
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808188198
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807829275
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808438467
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808883102
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808188198
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806571015
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806127723
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806122222
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807255798
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807230201
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807192577
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809548902
BID = 1.3581 , ASK = 1.3584 , AVG = 1.3580961243
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809429773
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807991066
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807965767
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807658551
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808090232
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808115083
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806444944
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806187402
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806184609
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807313593
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807668485
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807071562
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807377076
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806950546
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809232896
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809325213
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809158158
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807743031
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807431283
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807867048
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807841302
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807867048
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806244899
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35805973804
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35805961479
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807071562
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807043639
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809365079
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809445689
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35809271404
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807841302
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807867048
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806244899
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35805973804
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35805961479
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807071562
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806668252
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807313593
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807613389
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807192577
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807165081
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807068762
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807226085
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807906195
BID = 1.358 , ASK = 1.3584 , AVG = 1.35806087821
BID = 1.358 , ASK = 1.3584 , AVG = 1.35806442223
BID = 1.358 , ASK = 1.3584 , AVG = 1.35805678091
BID = 1.358 , ASK = 1.3584 , AVG = 1.35806827749
BID = 1.358 , ASK = 1.3584 , AVG = 1.35806821787
BID = 1.358 , ASK = 1.3584 , AVG = 1.35802901823
BID = 1.358 , ASK = 1.3584 , AVG = 1.35804630666
BID = 1.358 , ASK = 1.3584 , AVG = 1.35805618721
BID = 1.358 , ASK = 1.35835 , AVG = 1.35805488958
BID = 1.358 , ASK = 1.35835 , AVG = 1.35805304949
