Server Version:69
TWS Time at connection:20131031 16:49:31 EST
1383252582104: Buy Book | Sell Book
1383252601018: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 5500000 | 1.35830 1000000
1383252601019: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 5500000 | 1.35830 1000000
1383252601021: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 5500000 | 1.35825 1000000
1.35785 5500000 | 1.35830 1000000
1383252601022: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 5500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252602659: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 5500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252602661: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 5500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252602663: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35785 5500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252602664: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252602666: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 5500000 | 1.35830 1000000
1383252604091: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 1500000 | 1.35825 1000000
1.35785 5500000 | 1.35830 1000000
1383252604096: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 1500000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252604912: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 6500000 | 1.35830 1000000
1383252604923: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 5500000 | 1.35830 1000000
1383252604927: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 7000000 | 1.35825 1000000
1.35785 5500000 | 1.35830 1000000
1383252604929: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 7000000 | 1.35825 1000000
1.35785 1000000 | 1.35830 1000000
1383252605319: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35800 7251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 7000000 | 1.35825 1000000
1.35785 1000000 | 1.35830 1000000
1383252605323: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 7000000 | 1.35825 1000000
1.35785 1000000 | 1.35830 1000000
1383252605324: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 7000000 | 1.35820 6000000
1.35790 7000000 | 1.35825 1000000
1.35785 1000000 | 1.35830 1000000
1383252605326: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 7000000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35785 1000000 | 1.35830 1000000
1383252605327: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 7000000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252609311: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 8000000
1.35790 7000000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252609316: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 8000000
1.35790 7000000 | 1.35820 5000000
1.35785 1000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252609412: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2060000
1.35795 9000000 | 1.35815 8000000
1.35790 7000000 | 1.35820 5000000
1.35785 1000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252609413: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2060000
1.35795 9000000 | 1.35815 8000000
1.35790 6000000 | 1.35820 5000000
1.35785 1000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252609414: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2060000
1.35795 9000000 | 1.35815 8000000
1.35790 6000000 | 1.35820 5000000
1.35785 2000000 | 1.35825 1000000
1.35745 1000000 | 1.35830 1000000
1383252609416: Buy Book | Sell Book
